,in,out,1,2,3,4,1_op,2_op,3_op,4_op
13,"[2, 4]","[9, 7]",{7},{7},{7},{7},0.03125,0.03125,0.03125,0.03333333333333333
14,"[2, 4]","[9, 10, 7]","{9, 7}",{7},{7},"{9, 7}",0.0625,0.03125,0.03125,0.06666666666666667
15,"[2, 4]","[7, 9, 10, 14, 15]","{9, 12, 7}",{7},{7},"{9, 12, 7}",0.09375,0.03125,0.03125,0.1
16,"[1, 2, 4]","[7, 9, 10, 14, 15, 17]","{9, 12, 14, 7}",set(),set(),"{9, 12, 14, 7}",0.125,0.0,0.0,0.13333333333333333
17,"[1, 2, 4]","[7, 9, 10, 14, 15, 17, 19]","{7, 9, 12, 14, 16}",set(),set(),"{7, 9, 12, 14, 16}",0.15625,0.0,0.0,0.16666666666666666
18,"[1, 2, 4]","[7, 9, 10, 14, 15, 17, 19, 22]","{7, 9, 12, 14, 16, 20}",set(),set(),"{7, 9, 12, 14, 16, 20}",0.1875,0.0,0.0,0.2
19,"[1, 2, 4]","[7, 9, 10, 14, 15, 17, 19, 22, 25]","{7, 9, 12, 14, 16, 20, 22}",set(),set(),"{7, 9, 12, 14, 16, 20, 22}",0.21875,0.0,0.0,0.23333333333333334
20,"[1, 2, 4, 6]","[7, 9, 10, 14, 15, 17, 19, 22, 25, 28]","{7, 9, 12, 14, 16, 20, 22, 24}",set(),set(),"{7, 9, 12, 14, 16, 20, 22, 24}",0.25,0.0,0.0,0.26666666666666666
21,"[1, 2, 4, 6]","[32, 36, 7, 9, 10, 41, 14, 15, 17, 19, 22, 25, 28]","{7, 9, 12, 14, 16, 20, 22, 24, 28}",set(),set(),"{7, 9, 12, 14, 16, 20, 22, 24, 28}",0.28125,0.0,0.0,0.3
22,"[1, 2, 4, 6]","[32, 36, 7, 9, 10, 41, 42, 14, 15, 17, 19, 22, 25, 28]","{7, 9, 12, 14, 16, 20, 22, 24, 28, 31}",set(),set(),"{7, 9, 12, 14, 16, 20, 22, 24, 28}",0.3125,0.0,0.0,0.3
23,"[1, 2, 4, 6]","[32, 36, 7, 9, 10, 41, 42, 14, 15, 46, 17, 19, 22, 25, 28]","{32, 7, 9, 12, 14, 16, 20, 22, 24, 28, 31}",set(),set(),"{7, 9, 12, 14, 16, 20, 22, 24, 28, 30}",0.34375,0.0,0.0,0.3333333333333333
24,"[1, 2, 4, 6]","[32, 36, 7, 9, 10, 41, 14, 15, 46, 17, 19, 22, 25, 28]","{32, 7, 9, 12, 14, 16, 20, 22, 24, 28}",set(),set(),"{7, 9, 12, 14, 16, 20, 22, 24, 28, 30}",0.3125,0.0,0.0,0.3333333333333333
25,"[1, 2, 4, 6]","[7, 9, 10, 42, 14, 15, 17, 19, 22, 25, 28]","{7, 9, 12, 14, 16, 20, 22, 24, 31}",set(),set(),"{7, 9, 12, 14, 16, 20, 22, 24}",0.28125,0.0,0.0,0.26666666666666666
26,"[9, 7]",[10],{9},set(),set(),{9},0.03125,0.0,0.0,0.03333333333333333
27,"[9, 7]","[10, 14, 15]","{9, 12}",set(),set(),"{9, 12}",0.0625,0.0,0.0,0.06666666666666667
28,"[1, 9, 7]","[17, 10, 14, 15]","{9, 12, 14}",set(),set(),"{9, 12, 14}",0.09375,0.0,0.0,0.1
29,"[1, 9, 7]","[10, 14, 15, 17, 19]","{16, 9, 12, 14}",set(),set(),"{16, 9, 12, 14}",0.125,0.0,0.0,0.13333333333333333
30,"[1, 9, 7]","[10, 14, 15, 17, 19, 22]","{9, 12, 14, 16, 20}",set(),set(),"{9, 12, 14, 16, 20}",0.15625,0.0,0.0,0.16666666666666666
31,"[1, 9, 7]","[10, 14, 15, 17, 19, 22, 25]","{9, 12, 14, 16, 20, 22}",set(),set(),"{9, 12, 14, 16, 20, 22}",0.1875,0.0,0.0,0.2
32,"[1, 9, 6, 7]","[10, 14, 15, 17, 19, 22, 25, 28]","{9, 12, 14, 16, 20, 22, 24}",set(),set(),"{9, 12, 14, 16, 20, 22, 24}",0.21875,0.0,0.0,0.23333333333333334
33,"[1, 9, 6, 7]","[32, 36, 41, 10, 14, 15, 17, 19, 22, 25, 28]","{9, 12, 14, 16, 20, 22, 24, 28}",set(),set(),"{9, 12, 14, 16, 20, 22, 24, 28}",0.25,0.0,0.0,0.26666666666666666
34,"[1, 9, 6, 7]","[32, 36, 41, 10, 42, 14, 15, 17, 19, 22, 25, 28]","{9, 12, 14, 16, 20, 22, 24, 28, 31}",set(),set(),"{9, 12, 14, 16, 20, 22, 24, 28}",0.28125,0.0,0.0,0.26666666666666666
35,"[1, 9, 6, 7]","[32, 36, 41, 10, 42, 14, 15, 46, 17, 19, 22, 25, 28]","{32, 9, 12, 14, 16, 20, 22, 24, 28, 31}",set(),set(),"{9, 12, 14, 16, 20, 22, 24, 28, 30}",0.3125,0.0,0.0,0.3
36,"[1, 9, 6, 7]","[32, 36, 41, 10, 14, 15, 46, 17, 19, 22, 25, 28]","{32, 9, 12, 14, 16, 20, 22, 24, 28}",set(),set(),"{9, 12, 14, 16, 20, 22, 24, 28, 30}",0.28125,0.0,0.0,0.3
37,"[1, 9, 6, 7]","[10, 42, 14, 15, 17, 19, 22, 25, 28]","{9, 12, 14, 16, 20, 22, 24, 31}",set(),set(),"{9, 12, 14, 16, 20, 22, 24}",0.25,0.0,0.0,0.23333333333333334
38,[10],"[14, 15]",{12},set(),set(),{12},0.03125,0.0,0.0,0.03333333333333333
39,"[1, 10]","[17, 14, 15]","{12, 14}",set(),set(),"{12, 14}",0.0625,0.0,0.0,0.06666666666666667
